,added_at,artist_id,artist_name,duration_ms,explicit,id,name,popularity,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0MDu47AxxsGupzPbykW5dy,2018-12-11T18:31:32Z,3zRsSdPeUYBcjWXlX2HXVW,Atentado Napalm,144613.0,False,0MDu47AxxsGupzPbykW5dy,Panspermia (Interlúdio),42.0,0.199,0.706,144613.0,0.559,0MDu47AxxsGupzPbykW5dy,0.0547,8.0,0.0984,-7.377,0.0,0.3,78.16,4.0,0.666
0MWBQUt1GN5QTap7mP83AS,2018-08-13T12:49:07Z,6TRHBkv8BBumCvAekctZiJ,Llorca,265746.0,False,0MWBQUt1GN5QTap7mP83AS,Addiction Days,26.0,0.244,0.729,265747.0,0.479,0MWBQUt1GN5QTap7mP83AS,0.0153,2.0,0.844,-10.538,0.0,0.101,143.984,4.0,0.739
0Ma6Kef6OlldJ2D6pzjqvA,2017-07-16T04:10:49Z,0AJXTSXK0tm1nNb0VU4bt2,Lee van Dowski,348855.0,False,0Ma6Kef6OlldJ2D6pzjqvA,Dans Tes Yeux,0.0,0.00414,0.812,348856.0,0.839,0Ma6Kef6OlldJ2D6pzjqvA,0.941,6.0,0.0647,-8.108,1.0,0.0766,119.999,4.0,0.339
0Nnqp25BnHql5kJjlEq8cl,2015-12-09T19:01:21Z,645m90txZTycwJGdZTWscc,Playing For Change,269053.0,False,0Nnqp25BnHql5kJjlEq8cl,Three Little Birds,9.0,0.751,0.718,269053.0,0.673,0Nnqp25BnHql5kJjlEq8cl,0.000962,7.0,0.109,-8.788,1.0,0.0699,147.709,4.0,0.657
0OGlFvvkovFeCJh13NrU64,2018-03-24T13:27:13Z,48C2RLG6w7o4jAJjCJKZM8,Shigeto,346526.0,False,0OGlFvvkovFeCJh13NrU64,Wit Da Cup,22.0,0.0011,0.73,346527.0,0.738,0OGlFvvkovFeCJh13NrU64,0.541,2.0,0.393,-8.781,1.0,0.082,130.029,4.0,0.559
0OZHRmOh5Iu5sQDqPYPgYI,2018-10-19T18:27:08Z,3V0CkmupRFH97LSOafzfbc,Third Son,222435.0,False,0OZHRmOh5Iu5sQDqPYPgYI,Assimo (feat. Stereo MC's),14.0,0.068,0.699,222436.0,0.756,0OZHRmOh5Iu5sQDqPYPgYI,0.133,4.0,0.101,-7.851,1.0,0.0356,122.976,4.0,0.158
0OeAuPlAmRVr2PsOllsiMW,2017-08-01T02:27:54Z,1wYb0sqXkGTaHPlJQoVuap,Animaltrainer,450864.0,False,0OeAuPlAmRVr2PsOllsiMW,Symphony,0.0,0.000281,0.603,450864.0,0.662,0OeAuPlAmRVr2PsOllsiMW,0.892,8.0,0.119,-7.321,1.0,0.0334,122.0,4.0,0.368
0OlvOIx7IOHhcyb0qbrNBF,2018-09-27T20:47:50Z,3AJX0vF4LdBPKbSUoJxODz,Aljaz Fajmut,348613.0,False,0OlvOIx7IOHhcyb0qbrNBF,Inchoate,0.0,0.113,0.784,348613.0,0.522,0OlvOIx7IOHhcyb0qbrNBF,0.864,7.0,0.112,-15.289,1.0,0.0849,122.005,4.0,0.131
0PQ7htEwTW3viMViWci3B2,2017-07-25T22:42:17Z,1VLqhTOnG3RulADitPNqLt,Setaoc Mass,388400.0,False,0PQ7htEwTW3viMViWci3B2,Lost Lakes,13.0,0.0123,0.798,388400.0,0.79,0PQ7htEwTW3viMViWci3B2,0.933,6.0,0.112,-11.345,0.0,0.0898,131.027,4.0,0.0355
0Px86mRlxdB3YqpK6KXWlr,2018-08-29T17:21:44Z,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,197821.0,True,0Px86mRlxdB3YqpK6KXWlr,Once an Addict - Interlude,65.0,0.626,0.548,197822.0,0.472,0Px86mRlxdB3YqpK6KXWlr,0.0,8.0,0.119,-8.343,1.0,0.477,82.36,4.0,0.138
0QaxoPdwiPrw9XWJuVE0GL,2017-06-30T00:14:54Z,6bxLLapj6NByiP5cr6jMeK,Matthias Tanzmann,481433.0,False,0QaxoPdwiPrw9XWJuVE0GL,No Sleep - Original Mix,0.0,0.0164,0.778,481433.0,0.726,0QaxoPdwiPrw9XWJuVE0GL,0.94,0.0,0.121,-9.137,1.0,0.0447,124.016,4.0,0.498
0QsP54bbseY8GHXgWXwlci,2018-11-24T05:35:51Z,7Go2Fj2YWEQkYBqTVQArYi,Pantha Du Prince,322840.0,False,0QsP54bbseY8GHXgWXwlci,Islands In the Sky (Recondite Remix),33.0,0.0235,0.777,322840.0,0.34,0QsP54bbseY8GHXgWXwlci,0.885,2.0,0.108,-16.184,1.0,0.0445,122.025,4.0,0.127
0RD0GlER5SrQo23WYsqQaa,2018-07-20T22:17:54Z,5wMlMjOLeJfS5DfxqGfm83,Jan Blomqvist,266646.0,False,0RD0GlER5SrQo23WYsqQaa,Our Broken Mind Embassy,11.0,0.000565,0.607,266646.0,0.674,0RD0GlER5SrQo23WYsqQaa,0.535,9.0,0.91,-11.907,0.0,0.0397,122.015,4.0,0.458
0REHa4jaG4bZ2VZWesalik,2018-09-20T21:33:19Z,4BhiV5JTPRMplzEuBPK6Ie,Guru's Jazzmatazz,282666.0,True,0REHa4jaG4bZ2VZWesalik,Certified - Single; Explicit,18.0,0.0276,0.695,282667.0,0.725,0REHa4jaG4bZ2VZWesalik,2.75e-06,0.0,0.152,-4.829,1.0,0.451,114.09,5.0,0.831
0RQxhjZnkCz6zBiHnAvCGi,2018-07-20T22:17:54Z,7h6r54f4n9PtgfWIDqhsmM,Chakra,206829.0,False,0RQxhjZnkCz6zBiHnAvCGi,Home - Jody Wisternoff Remix,6.0,0.00652,0.681,206829.0,0.85,0RQxhjZnkCz6zBiHnAvCGi,0.798,9.0,0.0698,-8.407,0.0,0.0339,123.011,4.0,0.15
0RkFPrYzFhfcrUE1do8ERF,2017-07-29T20:58:56Z,7iOxwgFvxljC089yhrvKvE,Mattia Pompeo,487761.0,False,0RkFPrYzFhfcrUE1do8ERF,Kepler,0.0,0.00155,0.707,487762.0,0.593,0RkFPrYzFhfcrUE1do8ERF,0.764,7.0,0.0869,-11.427,1.0,0.107,124.98,4.0,0.504
0Rp4gq1EMeeTy8srbqUZRy,2017-07-07T16:20:17Z,6QLOlk9sB4Wca7i7dwVNC4,Mike Dehnert,371963.0,False,0Rp4gq1EMeeTy8srbqUZRy,8 Years Fachwerk,6.0,6.88e-06,0.841,371963.0,0.483,0Rp4gq1EMeeTy8srbqUZRy,0.899,10.0,0.0929,-10.315,0.0,0.175,124.995,4.0,0.376
0SmRCxSN62zUHULITZ4Vtu,2017-07-18T01:52:55Z,5kLzaeSHrmS7okc5XNE6lv,Butch,434076.0,False,0SmRCxSN62zUHULITZ4Vtu,The Infamous - Robytek Vs Shield Re-Edit,24.0,0.00415,0.645,434077.0,0.733,0SmRCxSN62zUHULITZ4Vtu,0.895,5.0,0.26,-8.736,0.0,0.0298,123.989,3.0,0.344
0SwAOdc4C2kWUMbsXG4ztz,2017-08-04T18:34:33Z,6Yae9Ia1nq6JLLojBzwN1r,HNNY,285440.0,False,0SwAOdc4C2kWUMbsXG4ztz,Most Really Pretty Girls Have Pretty Ugly Feet,50.0,0.0862,0.929,285440.0,0.449,0SwAOdc4C2kWUMbsXG4ztz,0.49,1.0,0.0889,-10.425,1.0,0.0574,119.896,4.0,0.612
