C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/05/2017,12:00:00,REGULAR,0000922827,0003424420                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/05/2017,16:00:00,REGULAR,0000922932,0003424791                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/05/2017,20:00:00,REGULAR,0000923266,0003425429                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/06/2017,00:00:00,REGULAR,0000923364,0003425552                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/06/2017,04:00:00,REGULAR,0000923371,0003425556                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/06/2017,08:00:00,REGULAR,0000923388,0003425862                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/06/2017,12:00:00,REGULAR,0000923451,0003426677                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/06/2017,16:00:00,REGULAR,0000923589,0003427060                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/06/2017,20:00:00,REGULAR,0000923882,0003427744                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/07/2017,00:00:00,REGULAR,0000924012,0003427917                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/07/2017,04:00:00,REGULAR,0000924022,0003427925                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/07/2017,08:00:00,REGULAR,0000924036,0003428213                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/07/2017,12:00:00,REGULAR,0000924102,0003429014                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/07/2017,16:00:00,REGULAR,0000924240,0003429454                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/07/2017,20:00:00,REGULAR,0000924607,0003430069                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/08/2017,00:00:00,REGULAR,0000924758,0003430274                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/08/2017,04:00:00,REGULAR,0000924769,0003430281                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/08/2017,08:00:00,REGULAR,0000924791,0003430539                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/08/2017,12:00:00,REGULAR,0000924857,0003431325                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/08/2017,16:00:00,REGULAR,0000924991,0003431682                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/08/2017,20:00:00,REGULAR,0000925321,0003432324                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/09/2017,00:00:00,REGULAR,0000925424,0003432518                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/09/2017,04:00:00,REGULAR,0000925434,0003432532                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/09/2017,08:00:00,REGULAR,0000925458,0003432806                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/09/2017,12:00:00,REGULAR,0000925520,0003433544                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/09/2017,16:00:00,REGULAR,0000925675,0003433971                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/09/2017,20:00:00,REGULAR,0000926037,0003434548                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/03/2017,00:00:00,REGULAR,0000307646,0000496712                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/03/2017,04:00:00,REGULAR,0000307710,0000496747                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/03/2017,08:00:00,REGULAR,0000307735,0000496814                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/03/2017,12:00:00,REGULAR,0000307840,0000497100                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/03/2017,16:00:00,REGULAR,0000308050,0000497434                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/03/2017,20:00:00,REGULAR,0000308337,0000497751                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/04/2017,00:00:00,REGULAR,0000308541,0000497913                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/04/2017,04:00:00,REGULAR,0000308584,0000497947                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/04/2017,08:00:00,REGULAR,0000308593,0000498002                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/04/2017,12:00:00,REGULAR,0000308690,0000498205                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/04/2017,16:00:00,REGULAR,0000308914,0000498555                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/04/2017,20:00:00,REGULAR,0000309155,0000498846                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/05/2017,00:00:00,REGULAR,0000309313,0000498957                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/05/2017,04:00:00,REGULAR,0000309329,0000498970                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/05/2017,08:00:00,REGULAR,0000309374,0000499259                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/05/2017,12:00:00,REGULAR,0000309526,0000500015                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/05/2017,16:00:00,REGULAR,0000309809,0000500408                                            
